"","name","longitude","latitude"
"274","Leptasthenura setaria",-50.866667,-29.416667
"275","Leptasthenura setaria",-50.167,-29.333
"276","Leptasthenura setaria",-50.194073,-29.18781
"277","Leptasthenura setaria",-53.6753,-26.276722
"278","Leptasthenura setaria",-50.335106,-29.293827
"279","Leptasthenura setaria",-49.58,-27.83
"280","Leptasthenura setaria",-49.50333,-25.342754
"281","Leptasthenura setaria",-51.30342,-26.421843
"282","Leptasthenura setaria",-50.035366,-28.067305
"283","Leptasthenura setaria",-53.9,-25.9833
"284","Leptasthenura setaria",-51.1,-29.67
"285","Leptasthenura setaria",-50.7039404156,-29.478559524
"286","Leptasthenura setaria",-54.0095370723,-26.731719306
"287","Leptasthenura setaria",-49.364237282,-25.4758994542
"288","Leptasthenura setaria",-48.9436930337,-25.0837676486
"289","Leptasthenura setaria",-55.0056301327,-27.5432067619
"290","Leptasthenura setaria",-51.819558413,-27.1685748715
"291","Leptasthenura setaria",-53.3463429826,-26.2469637654
"292","Leptasthenura setaria",-53.8247536187,-26.4243958978
"293","Leptasthenura setaria",-49.1777788214,-25.3655827386
"294","Leptasthenura setaria",-48.4803916465,-24.2269892543
"295","Leptasthenura setaria",-49.7193507937,-28.013945987
"296","Leptasthenura setaria",-50.0064010620117,-25.4293994903564
"297","Leptasthenura setaria",-48.3400001525879,-24
"298","Leptasthenura setaria",-52.1755981445312,-25.9410991668701
"299","Leptasthenura setaria",-46.3182983398438,-22.854700088501
